date,cha_058
1/31/1993,3.1648
2/28/1993,8.5004
3/31/1993,6.2094
4/30/1993,3.493
5/31/1993,1.5597
6/30/1993,0.939
7/31/1993,0.0081
8/31/1993,0
9/30/1993,0.0133
10/31/1993,0.2071
11/30/1993,0.2187
12/31/1993,0.3177
1/31/1994,0.3223
2/28/1994,1.3032
3/31/1994,1.5052
4/30/1994,0.7187
5/31/1994,4.5616
6/30/1994,0.5793
7/31/1994,0.039
8/31/1994,0.001
9/30/1994,0.096
10/31/1994,0.4881
11/30/1994,1.0883
12/31/1994,3.3216
1/31/1995,3.5371
2/28/1995,1.5796
3/31/1995,2.0942
4/30/1995,10.4787
5/31/1995,5.5229
6/30/1995,1.4923
7/31/1995,0.2939
8/31/1995,2.7174
9/30/1995,0.2057
10/31/1995,0.3045
11/30/1995,0.76
12/31/1995,0.8597
1/31/1996,0.7894
2/29/1996,0.8638
3/31/1996,1.1361
4/30/1996,1.426
5/31/1996,1.5365
6/30/1996,0.0747
7/31/1996,0.0003
8/31/1996,0.1135
9/30/1996,4.1163
10/31/1996,1.1332
11/30/1996,3.157
12/31/1996,7.5797
1/31/1997,5.6787
2/28/1997,21.0293
3/31/1997,13.101
4/30/1997,7.8827
5/31/1997,6.0561
6/30/1997,10.1567
7/31/1997,0.6681
8/31/1997,0.0306
9/30/1997,0.0077
10/31/1997,0.1313
11/30/1997,0.413
12/31/1997,6.6897
1/31/1998,12.7435
2/28/1998,6.8825
3/31/1998,8.0358
4/30/1998,1.7777
5/31/1998,0.34
6/30/1998,0.0203
7/31/1998,0.0013
8/31/1998,0.0006
9/30/1998,0.0607
10/31/1998,6.7148
11/30/1998,3.913
12/31/1998,7.6426
1/31/1999,3.1945
2/28/1999,2.0143
3/31/1999,1.5071
4/30/1999,1.195
5/31/1999,0.3516
6/30/1999,0.0263
7/31/1999,0.109
8/31/1999,0
9/30/1999,0
10/31/1999,0.0003
11/30/1999,0.0007
12/31/1999,0.001
1/31/2000,0.0026
2/29/2000,0.341
3/31/2000,0.7642
4/30/2000,1.0093
5/31/2000,0.3713
6/30/2000,1.8003
7/31/2000,0.2461
8/31/2000,0.0052
9/30/2000,0.0023
10/31/2000,0.0758
11/30/2000,5.752
12/31/2000,3.0652
1/31/2001,6.7987
2/28/2001,7.0118
3/31/2001,11.7181
4/30/2001,2.524
5/31/2001,1.2655
6/30/2001,0.2
7/31/2001,0.0042
8/31/2001,0.0026
9/30/2001,0.8703
10/31/2001,0.4752
11/30/2001,4.589
12/31/2001,8.0123
1/31/2002,2.4619
2/28/2002,4.0971
3/31/2002,2.1023
4/30/2002,2.9657
5/31/2002,0.5319
6/30/2002,0.1193
7/31/2002,0.8406
8/31/2002,0.0752
9/30/2002,0.0117
10/31/2002,2.9406
11/30/2002,2.6847
12/31/2002,7.3126
1/31/2003,3.679
2/28/2003,4.3375
3/31/2003,5.1797
4/30/2003,1.057
5/31/2003,0.4281
6/30/2003,0.7627
7/31/2003,0.0658
8/31/2003,0.0048
9/30/2003,0.0563
10/31/2003,5.949
11/30/2003,0.7117
12/31/2003,0.3887
1/31/2004,2.5019
2/29/2004,6.6345
3/31/2004,7.8197
4/30/2004,8.2783
5/31/2004,6.2739
6/30/2004,10.1227
7/31/2004,3.5474
8/31/2004,0.9555
9/30/2004,0.297
10/31/2004,2.4252
11/30/2004,24.0567
12/31/2004,5.0626
1/31/2005,3.5555
2/28/2005,7.2486
3/31/2005,5.2442
4/30/2005,1.2997
5/31/2005,0.4294
6/30/2005,0.2333
7/31/2005,0.001
8/31/2005,3.8226
9/30/2005,0.0547
10/31/2005,0.0019
11/30/2005,0.0207
12/31/2005,0.0142
1/31/2006,0.0045
2/28/2006,0.0046
3/31/2006,0.0306
4/30/2006,0.098
5/31/2006,0.8471
6/30/2006,0.011
7/31/2006,0
8/31/2006,0
9/30/2006,0
10/31/2006,0
11/30/2006,0
12/31/2006,0
1/31/2007,0.609
2/28/2007,0.89
3/31/2007,19.5081
4/30/2007,4.725
5/31/2007,23.7945
6/30/2007,18.6447
7/31/2007,12.1281
8/31/2007,1.0952
9/30/2007,3.974
10/31/2007,0.2452
11/30/2007,0.1817
12/31/2007,0.2555
1/31/2008,0.1755
2/29/2008,0.1186
3/31/2008,1.869
4/30/2008,0.9457
5/31/2008,3.7797
6/30/2008,0.2627
7/31/2008,0.0319
8/31/2008,0.0829
9/30/2008,0.0183
10/31/2008,2.0284
11/30/2008,0.2673
12/31/2008,0.149
1/31/2009,0.0913
2/28/2009,0.1421
3/31/2009,2.5674
4/30/2009,1.4557
5/31/2009,1.7613
6/30/2009,0.2277
7/31/2009,0.0574
8/31/2009,0.001
9/30/2009,3.9487
10/31/2009,23.9432
11/30/2009,4.282
12/31/2009,2.4965
1/31/2010,10.1958
2/28/2010,11.6775
3/31/2010,8.3068
4/30/2010,3.0397
5/31/2010,0.9426
6/30/2010,0.1823
7/31/2010,0.1603
8/31/2010,0.0042
9/30/2010,9.264
10/31/2010,0.4265
11/30/2010,0.175
12/31/2010,0.1381
1/31/2011,0.8877
2/28/2011,1.0754
3/31/2011,0.5661
4/30/2011,0.1703
5/31/2011,0.011
6/30/2011,0
7/31/2011,0
8/31/2011,0
9/30/2011,0
10/31/2011,0.0071
11/30/2011,0.0003
12/31/2011,0.2403
1/31/2012,1.6419
2/29/2012,3.0783
3/31/2012,9.789
4/30/2012,1.8937
5/31/2012,0.4006
6/30/2012,0.0903
7/31/2012,0.01
8/31/2012,0.0016
9/30/2012,0.0027
10/31/2012,0.0006
11/30/2012,0.0043
12/31/2012,0.0029
